Rank,City,Attraction,Food,Gem,Rating,Votes,Revenue (Millions),Metascore,City_id
1,Goa,"Beach,Church",Bar/Restaurants,water sports,8.1,757074,333.13,76,0
2,Mysuru,Palace,Mysore pak,sandalwoodcity,7,485820,126.46,65,1
3,Chennai,"Beach,Church",South Indian meals,City,7.3,157606,138.12,62,2
4,Kochi,"Beach,Church",Seafood,LULU MALL,7.2,60545,270.32,59,3
5,Kedarnath,Glaciers,pahadi khana,Pilgrimage,6.2,393727,325.02,40,4
6,Kolkata,"Literature,Sweets",Seafood,Palace,6.1,56036,45.13,42,5
7,Nainital,Hill Stations,pahadi khana,WaterFalls,8.3,258682,151.06,93,6
8,Mumbai,"Beaches,  Film City",Delicious Street Food,City,6.4,2490,333,71,7
9,Bangalore,IT HUB,South Indian meals,City,7.1,7188,8.01,78,8
10,Hyderbad,Film City,"Biriyani,Karachi biscuits",City,7,192177,100.01,41,9
11,Guwahiti,Temple,Tea,Rhino forest,7.5,232072,234.02,66,10
12,Jaipur,Palace,rajasthani  food,Pink  city,7.8,93103,169.27,74,11
13,Delhi,Mouments,chola bature,Capital of India,7.9,323118,532.17,65,12
14,Agra,Palace,Petha,Taj Mahal,7.7,118151,248.75,81,13
15,Pondicherry,"Beach,Church",Bar/Restaurants,water sports,6.4,8612,2.87,70,14
16,Munnar,Hill Stations,Coffee,WaterFalls,9,12345,3.54,88,15
17,Amritsar,Temple,chola bature,Golden Temple,7.9,3456,300,44,16
18,Port Blair,"Beach,Church",Bar/Restaurants,Island,9,3478,332.8,78,17
19,Varkala,"Beach,Church",Bar/Restaurants,Temple,8.9,22355,2356,56,18
20,Patna,River,Litti-Chokha,Museum,5.5,282,342,45,19
21,Havelock,Beaches,"cocunut ,lobsters",Island,8,1234,167,70,20
22,Shimla,Hill Stations,Dhaam,Scandal Point,7.9,23974,676.54,34,21
23,Ooty,Hill Stations,South Indian foods,Ooty lake,9.1,56943,277,56,22
24,Ahmedabad,Sabarmati river, Gujarati food and snacks,Gandhi Ashram,8.7,67845,445,70,23
25,Raipur,Temple,Chhattisgarhi Dishes,steel plants,7,90770,11.9,90,19
26,Tirupati,Temple,South Indian meals,Venkateshwara National Park,6.1,9987,111.67,70,18
27,Ladak,Glaciers,Thupka,pangong lake,9.1,88887,1111,80,19
28,Varanasi,Temple,Banarasi Paan,Ganga Ghats,8,12345,112,87,17
29,Pune,Monuments,Street food and snacks,Palace,7,1234,11,79,16
30,Jabalpur,Monuments,Poha,Dhuadhar Waterfall ,8.9,8902,17,89,18
